model_name,feature_type,Parameter number,Sketch (bytes),Global (bytes),Inference time (ms),Current (mA),Voltage (V),Energy (mW),microcontrolador,Accuracy
CNN,MFCC,16012,0,0,0,0,"5,014",0,ESP8266,0.9651162791
CNN,MFCC,16012,0,0,0,0,"5,014",0,STM32F103C,0.9651162791
CNN,MFCC,16012,346344,63028,9.41,61.1,"5,014",306.3554,ESP32,0.9651162791
CNN,MFCC,16012,160482,83784,162.07,25.15,"5,014",126.1021,Raspberry Pi Pico,0.9651162791
CNN,MFCC,16012,143748,110480,67.41,33.02,"5,014",165.56228,Raspberry Pi Pico W,0.9651162791
CNN,MFCC,16012,139392,110908,10.73,14.6,"5,014",73.2044,Raspberry Pi Pico 2 W,0.9651162791
CNN,MFCC,16012,116868,50672,10.69,16.6,"5,014",83.2324,Raspberry Pi Pico 2,0.9651162791
CNN,MFCC,16012,151496,85408,24.06,18.07,"5,014",90.60298,Arduino Nano 33 BLE SENSE,0.9651162791
CNN,MFCC,16012,201504,103944,2.56,111.1,"5,014",557.0554,Arduino Portenta H7,0.9651162791
CNN,MFE,16012,0,0,0,0,"5,014",0,ESP8266,0.9825581395
CNN,MFE,16012,0,0,0,0,"5,014",0,STM32F103C,0.9825581395
CNN,MFE,16012,346344,63028,9.41,61.1,"5,014",306.3554,ESP32,0.9825581395
CNN,MFE,16012,160482,83784,162.07,25.15,"5,014",126.1021,Raspberry Pi Pico,0.9825581395
CNN,MFE,16012,143748,110480,67.41,33.02,"5,014",165.56228,Raspberry Pi Pico W,0.9825581395
CNN,MFE,16012,139392,110908,10.73,14.6,"5,014",73.2044,Raspberry Pi Pico 2 W,0.9825581395
CNN,MFE,16012,116868,50672,10.69,16.6,"5,014",83.2324,Raspberry Pi Pico 2,0.9825581395
CNN,MFE,16012,151496,85408,24.06,18.07,"5,014",90.60298,Arduino Nano 33 BLE SENSE,0.9825581395
CNN,MFE,16012,201504,103944,2.56,111.1,"5,014",557.0554,Arduino Portenta H7,0.9825581395
FAN,MFCC,7984,309504,62632,15.4,19.1,"3,300",63.03,ESP8266,0.988372093
FAN,MFCC,7984,55432,2912,17.16,9.9,"5,014",49.6386,STM32F103C,0.988372093
FAN,MFCC,7984,317376,23556,0.67,53.39,"5,014",267.69746,ESP32,0.988372093
FAN,MFCC,7984,132305,44296,20.7,25.13,"5,014",126.00182,Raspberry Pi Pico,0.988372093
FAN,MFCC,7984,111444,70992,8.73,31.83,"5,014",159.59562,Raspberry Pi Pico W,0.988372093
FAN,MFCC,7984,107320,71428,2.03,14.51,"5,014",72.75314,Raspberry Pi Pico 2 W,0.988372093
FAN,MFCC,7984,84652,10712,2.04,16.25,"5,014",81.4775,Raspberry Pi Pico 2,0.988372093
FAN,MFCC,7984,123720,46032,1.47,26.85,"5,014",134.6259,Arduino Nano 33 BLE SENSE,0.988372093
FAN,MFCC,7984,173112,63984,0.2,111.10,"5,014",557.0554,Arduino Portenta H7,0.988372093
FAN,MFE,7792,310096,61384,14.26,21.32,"3,300",70.356,ESP8266,0.9860465116
FAN,MFE,7792,55592,2432,15.57,10.03,"5,014",50.29042,STM32F103C,0.9860465116
FAN,MFE,7792,317764,23076,0.85,50.68,"5,014",254.10952,ESP32,0.9860465116
FAN,MFE,7792,132491,43816,19.6,25.43,"5,014",127.50602,Raspberry Pi Pico,0.9860465116
FAN,MFE,7792,110764,70512,8.53,32.3,"5,014",161.9522,Raspberry Pi Pico W,0.9860465116
FAN,MFE,7792,106976,70948,1.96,14.8,"5,014",74.2072,Raspberry Pi Pico 2 W,0.9860465116
FAN,MFE,7792,84316,10232,1.95,16.1,"5,014",80.7254,Raspberry Pi Pico 2,0.9860465116
FAN,MFE,7792,123784,45552,1.38,18,"5,014",90.252,Arduino Nano 33 BLE SENSE,0.9860465116
FAN,MFE,7792,173176,63504,0.21,110.7,"5,014",555.0498,Arduino Portenta H7,0.9860465116
MLP,MFCC,2140,284192,37304,3.9,16.9,"3,300",55.77,ESP8266,0.9604651163
MLP,MFCC,2140,28868,2040,5.11,9.8,"5,014",49.1372,STM32F103C,0.9604651163
MLP,MFCC,2140,290696,22548,0.08,50.9,"5,014",255.2126,ESP32,0.9604651163
MLP,MFCC,2140,104866,43304,4.24,25.4,"5,014",127.3556,Raspberry Pi Pico,0.9604651163
MLP,MFCC,2140,87532,70000,1.76,27.2,"5,014",136.3808,Raspberry Pi Pico W,0.9604651163
MLP,MFCC,2140,83280,70428,0.15,14.8,"5,014",74.2072,Raspberry Pi Pico 2 W,0.9604651163
MLP,MFCC,2140,60668,9716,0.14,15.3,"5,014",76.7142,Raspberry Pi Pico 2,0.9604651163
MLP,MFCC,2140,96864,45032,0.75,20.3,"5,014",101.7842,Arduino Nano 33 BLE SENSE,0.9604651163
MLP,MFCC,2140,145904,62992,0.04,109.10,"5,014",547.0274,Arduino Portenta H7,0.9604651163
MLP,MFE,2140,284192,37304,3.9,16.9,"3,300",55.77,ESP8266,0.9302325581
MLP,MFE,2140,28868,2040,5.11,9.8,"5,014",49.1372,STM32F103C,0.9302325581
MLP,MFE,2140,290696,22548,0.08,50.9,"5,014",255.2126,ESP32,0.9302325581
MLP,MFE,2140,104866,43304,4.24,25.4,"5,014",127.3556,Raspberry Pi Pico,0.9302325581
MLP,MFE,2140,87532,70000,1.76,27.2,"5,014",136.3808,Raspberry Pi Pico W,0.9302325581
MLP,MFE,2140,83280,70428,0.15,14.8,"5,014",74.2072,Raspberry Pi Pico 2 W,0.9302325581
MLP,MFE,2140,60668,9716,0.14,15.3,"5,014",76.7142,Raspberry Pi Pico 2,0.9302325581
MLP,MFE,2140,96864,45032,0.75,20.3,"5,014",101.7842,Arduino Nano 33 BLE SENSE,0.9302325581
MLP,MFE,2140,145904,62992,0.04,109.10,"5,014",547.0274,Arduino Portenta H7,0.9302325581
KAN,MFCC,19243,0,0,0,0,"3,300",0,ESP8266,0.8848837209
KAN,MFCC,19243,0,0,0,0,"5,014",0,STM32F103C,0.8848837209
KAN,MFCC,19243,818168,22548,87.19,68.1,"5,014",341.4534,ESP32,0.8848837209
KAN,MFCC,19243,584553,43304,341.87,26.6,"5,014",133.3724,Raspberry Pi Pico,0.8848837209
KAN,MFCC,19243,563708,70048,83.76,36,"5,014",180.504,Raspberry Pi Pico W,0.8848837209
KAN,MFCC,19243,618040,70428,56.08,18.8,"5,014",94.2632,Raspberry Pi Pico 2 W,0.8848837209
KAN,MFCC,19243,595380,9712,55.69,21.3,"5,014",106.7982,Raspberry Pi Pico 2,0.8848837209
KAN,MFCC,19243,636424,45032,202.18,21.2,"5,014",106.2968,Arduino Nano 33 BLE SENSE,0.8848837209
KAN,MFCC,19243,526264,62984,3.4,120.00,"5,014",601.68,Arduino Portenta H7,0.8848837209
KAN,MFE,23317,0,0,0,0,"3,300",0,ESP8266,0.8813953488
KAN,MFE,23317,0,0,0,0,"5,014",0,STM32F103C,0.8813953488
KAN,MFE,23317,1003612,22548,121.89,68.7,"5,014",344.4618,ESP32,0.8813953488
KAN,MFE,23317,756965,43304,487.21,26.7,"5,014",133.8738,Raspberry Pi Pico,0.8813953488
KAN,MFE,23317,736052,70048,114.99,35.5,"5,014",177.997,Raspberry Pi Pico W,0.8813953488
KAN,MFE,23317,796320,70428,72.31,18.7,"5,014",93.7618,Raspberry Pi Pico 2 W,0.8813953488
KAN,MFE,23317,773660,9712,71.71,20.3,"5,014",101.7842,Raspberry Pi Pico 2,0.8813953488
KAN,MFE,23317,814600,45032,286.72,21.4,"5,014",107.2996,Arduino Nano 33 BLE SENSE,0.8813953488
KAN,MFE,23317,646264,62984,4.5,124.20,"5,014",622.7388,Arduino Portenta H7,0.8813953488
RBFN,MFCC,26876,0,0,0,0,"3,300",0,ESP8266,0.973255814
RBFN,MFCC,26876,0,0,0,0,"5,014",0,STM32F103C,0.973255814
RBFN,MFCC,26876,389872,23348,8.75,57.2,"5,014",286.8008,ESP32,0.973255814
RBFN,MFCC,26876,204117,44108,99.6,26,"5,014",130.364,Raspberry Pi Pico,0.973255814
RBFN,MFCC,26876,186656,70800,39.46,32.6,"5,014",163.4564,Raspberry Pi Pico W,0.973255814
RBFN,MFCC,26876,182364,71228,7.36,16.9,"5,014",84.7366,Raspberry Pi Pico 2 W,0.973255814
RBFN,MFCC,26876,159696,10512,7.32,17.6,"5,014",88.2464,Raspberry Pi Pico 2,0.973255814
RBFN,MFCC,26876,195992,45832,6.22,18.4,"5,014",92.2576,Arduino Nano 33 BLE SENSE,0.973255814
RBFN,MFCC,26876,245136,63792,0.79,114.90,"5,014",576.1086,Arduino Portenta H7,0.973255814
RBFN,MFE,26876,0,0,0,0,"3,300",0,ESP8266,0.9697674419
RBFN,MFE,26876,0,0,0,0,"5,014",0,STM32F103C,0.9697674419
RBFN,MFE,26876,389872,23348,8.75,57.2,"5,014",286.8008,ESP32,0.9697674419
RBFN,MFE,26876,204117,44108,99.6,26,"5,014",130.364,Raspberry Pi Pico,0.9697674419
RBFN,MFE,26876,186656,70800,39.46,32.6,"5,014",163.4564,Raspberry Pi Pico W,0.9697674419
RBFN,MFE,26876,182364,71228,7.36,16.9,"5,014",84.7366,Raspberry Pi Pico 2 W,0.9697674419
RBFN,MFE,26876,159696,10512,7.32,17.6,"5,014",88.2464,Raspberry Pi Pico 2,0.9697674419
RBFN,MFE,26876,195992,45832,6.22,18.4,"5,014",92.2576,Arduino Nano 33 BLE SENSE,0.9697674419
RBFN,MFE,26876,245136,63792,0.79,114.90,"5,014",576.1086,Arduino Portenta H7,0.9697674419
