run_id,model_name,Feature type,epochs,lr,batch_size,Optimizer,weight_decay,Conv Layers,Filters,Kernel,???????????????????????.,Neurons,Dropout,Training Time (s),C++ File Size (B),Accuracy (Train),F1 Score (Train),Precision (Train),Recall (Train),Accuracy (Test),F1 Score  (Test),Precision  (Test),Recall  (Test)
72,CNN,MFCC,100,0.001,32,Adam,0.00001,1,64,3,0,32,0,6.29446315765381,232922,1,1,1,1,0.965116279069768,0.965253636365173,0.96570755446792,0.965116279069768
77,CNN,MFCC,100,0.001,32,Adam,0.00001,1,64,3,0,128,0.25,6.53174328804016,232942,1,1,1,1,0.958139534883721,0.958237978336881,0.958868484704296,0.958139534883721
724,CNN,MFCC,100,0.001,32,AdamW,0.00001,1,64,3,0,128,0,6.80200791358948,233013,1,1,1,1,0.958139534883721,0.958443920323741,0.959663798217149,0.958139534883721
876,CNN,MFCC,100,0.001,32,AdamW,0.00001,3,16,3,2,32,0,8.59822750091553,72101,0.972060535506403,0.972287291442274,0.973511471843595,0.972060535506403,0.656976744186047,0.658211269300195,0.666823932898183,0.656976744186047
916,CNN,MFCC,100,0.001,32,AdamW,0.00001,3,32,3,2,128,0,9.16474580764771,459522,0.862922002328289,0.861381433276942,0.879544184945821,0.862922002328289,0.658139534883721,0.656797837439318,0.687467843368161,0.658139534883721
868,CNN,MFCC,100,0.001,32,AdamW,0.00001,3,16,3,0,128,0,7.78204941749573,45636,0.835564610011641,0.834640529595162,0.835615003815525,0.835564610011641,0.666279069767442,0.664009382447337,0.665884393822286,0.666279069767442
1697,CNN,MFE,100,0.001,32,AdamW,0.00001,1,64,3,0,128,0.25,6.466965675354,233010,1,1,1,1,0.982558139534884,0.982624368600791,0.983084499905439,0.982558139534884
1694,CNN,MFE,100,0.001,32,AdamW,0.00001,1,64,3,0,64,0,6.59207439422607,232989,1,1,1,1,0.981395348837209,0.981450323240439,0.98170873711332,0.981395348837209
1045,CNN,MFE,100,0.001,32,Adam,0.00001,1,64,3,0,32,0.25,6.60253357887268,232988,1,1,1,1,0.980232558139535,0.980374056747338,0.980835618061836,0.980232558139535
1202,CNN,MFE,100,0.001,32,Adam,0.00001,3,16,3,2,64,0,8.27833867073059,129096,0.982246798603027,0.982203507488146,0.982634024951465,0.982246798603027,0.786046511627907,0.789132482009939,0.799080901619516,0.786046511627907
1851,CNN,MFE,100,0.001,32,AdamW,0.00001,3,16,3,2,64,0.25,8.53082942962647,129019,0.949941792782305,0.948850128270584,0.952425423016983,0.949941792782305,0.795348837209302,0.794232595044506,0.809137867260686,0.795348837209302
1526,CNN,MFE,100,0.001,32,SGD,0.00001,3,16,3,2,64,0,8.51571369171143,129021,0.982828870779977,0.98285700626959,0.983160867940616,0.982828870779977,0.801162790697674,0.803184831068031,0.809156113537291,0.801162790697674
