run_id,model_name,feature_type,epochs,lr,batch_size,Optimizer,weight_decay,Hidden,Grid,k,Lambda,Training Time (s),C++ File Size (B),Accuracy (Train),F1 Score (Train),Precision (Train),Recall (Train),Accuracy (Test),F1 Score  (Test),Precision  (Test),Recall  (Test)
103,KAN,MFCC,100,0.001,32,LBFGS,1e-5,15,7,3,0.001,9.405569076538086,423663,0.889988358556461,0.8894139330343708,0.8926803647896071,0.889988358556461,0.8848837209302326,0.8847990274487809,0.8913395826058337,0.8848837209302326
91,KAN,MFCC,100,0.001,32,LBFGS,1e-5,15,3,3,0.001,9.493301153182983,569968,0.8568102444703143,0.8590297141293811,0.8772489298153178,0.8568102444703143,0.858139534883721,0.8611291754933988,0.8790410812876214,0.858139534883721
90,KAN,MFCC,100,0.001,32,LBFGS,1e-5,15,3,3,0.0001,9.53730583190918,1069945,0.869906868451688,0.8734595730467416,0.8861680914588393,0.869906868451688,0.8558139534883721,0.8605026489112082,0.8761621724254794,0.8558139534883721
204,KAN,MFE,100,0.001,32,LBFGS,1e-5,15,5,3,0.0001,9.360102415084839,538396,0.8908614668218859,0.8889834658180338,0.898151161872945,0.8908614668218859,0.8813953488372093,0.8785509002168601,0.8972737992850013,0.8813953488372093
198,KAN,MFE,100,0.001,32,LBFGS,1e-5,15,3,3,0.0001,9.499359369277954,645351,0.8873690337601863,0.8833178396696848,0.8901865055488093,0.8873690337601863,0.8767441860465116,0.8726557419926557,0.8818628318284594,0.8767441860465116
199,KAN,MFE,100,0.001,32,LBFGS,1e-5,15,3,3,0.001,9.366539478302002,345420,0.8812572759022119,0.8784915098979418,0.8818606521752429,0.8812572759022119,0.8627906976744186,0.8611144588522801,0.8667377875513312,0.8627906976744186
176,KAN,MFE,100,0.001,32,LBFGS,1e-5,5,7,3,0.01,9.301587104797363,69149,0.0681024447031432,0.015624138113821079,0.06165075942957686,0.0681024447031432,0.05232558139534884,0.007778948221375902,0.004201803273905051,0.05232558139534884
206,KAN,MFE,100,0.001,32,LBFGS,1e-5,15,5,3,0.01,9.442953109741211,82703,0.07043073341094296,0.017479372987172417,0.06397864941007525,0.07043073341094296,0.053488372093023255,0.011776361407712939,0.030695507727863648,0.053488372093023255
143,KAN,MFE,100,0.001,32,Adam,1e-5,10,7,5,0.01,0.5757496356964111,93488,0.06722933643771828,0.0652398835149804,0.07969749755358793,0.06722933643771828,0.05465116279069768,0.05266947776998667,0.0653384290444242,0.05465116279069768
23,KAN,MFCC,100,0.001,32,Adam,1e-5,10,3,5,0.01,0.6042389869689941,191675,0.056461001164144355,0.03345500487520558,0.05358577453252574,0.056461001164144355,0.04186046511627907,0.023777204354614147,0.0927891192609043,0.04186046511627907
68,KAN,MFCC,100,0.001,32,LBFGS,1e-5,5,7,3,0.01,9.738223552703857,69510,0.07712456344586728,0.014842673688718683,0.018135103884955622,0.07712456344586728,0.05930232558139535,0.008519301542557357,0.004589297263856472,0.05930232558139535
34,KAN,MFCC,100,0.001,32,Adam,1e-5,10,7,5,0.001,0.586158037185669,136498,0.08672875436554132,0.05264306406941099,0.07862902035134828,0.08672875436554132,0.06162790697674419,0.037377183227513364,0.0497954528811322,0.06162790697674419
