run_id,model_name,feature_type,epochs,lr,batch_size,Optimizer,weight_decay,Units,RBF Type,Width Method,Neighbors,Width,Regularization,Training Time (s),C++ File Size (B),Accuracy (Train),F1 Score (Train),Precision (Train),Recall (Train),Accuracy (Test),F1 Score  (Test),Precision  (Test),Recall  (Test)
1080,RBFN,MFCC,100,0.001,32,Adam,0.00001,200,multiquadric,p_nearest,2,0.5,0,0.317972660064697,287982,0.981082654249127,0.981066812234588,0.981167996944582,0.981082654249127,0.973255813953488,0.973212324522348,0.973342250165096,0.973255813953488
1084,RBFN,MFCC,100,0.001,32,Adam,0.00001,200,multiquadric,p_nearest,2,1,0,0.134174585342407,287982,0.981082654249127,0.981066812234588,0.981167996944582,0.981082654249127,0.973255813953488,0.973212324522348,0.973342250165096,0.973255813953488
1088,RBFN,MFCC,100,0.001,32,Adam,0.00001,200,multiquadric,p_nearest,2,2,0,0.308743476867676,287982,0.981082654249127,0.981066812234588,0.981167996944582,0.981082654249127,0.973255813953488,0.973212324522348,0.973342250165096,0.973255813953488
5048,RBFN,MFE,100,0.001,32,Adam,0.00001,200,multiquadric,fixed,2,2,0,0.175597429275513,288185,0.989231664726426,0.989222947361549,0.989267889359191,0.989231664726426,0.969767441860465,0.969798748669103,0.970292185676172,0.969767441860465
5060,RBFN,MFE,100,0.001,32,Adam,0.00001,200,multiquadric,fixed,3,2,0,0.135796785354614,288185,0.989231664726426,0.989222947361549,0.989267889359191,0.989231664726426,0.969767441860465,0.969798748669103,0.970292185676172,0.969767441860465
5072,RBFN,MFE,100,0.001,32,Adam,0.00001,200,multiquadric,fixed,5,2,0,0.338995218276978,288185,0.989231664726426,0.989222947361549,0.989267889359191,0.989231664726426,0.969767441860465,0.969798748669103,0.970292185676172,0.969767441860465
75,RBFN,MFCC,100,0.001,32,Adam,0.00001,50,gaussian,fixed,2,0.5,0.1,0.0583112239837647,78773,0.235157159487777,0.165290327578187,0.253325417233654,0.235157159487777,0.218604651162791,0.156438007522607,0.23705539347257,0.218604651162791
87,RBFN,MFCC,100,0.001,32,Adam,0.00001,50,gaussian,fixed,3,0.5,0.1,0.0611228942871094,78773,0.235157159487777,0.165290327578187,0.253325417233654,0.235157159487777,0.218604651162791,0.156438007522607,0.23705539347257,0.218604651162791
99,RBFN,MFCC,100,0.001,32,Adam,0.00001,50,gaussian,fixed,5,0.5,0.1,0.0472226142883301,78773,0.235157159487777,0.165290327578187,0.253325417233654,0.235157159487777,0.218604651162791,0.156438007522607,0.23705539347257,0.218604651162791
3963,RBFN,MFE,100,0.001,32,Adam,0.00001,50,gaussian,fixed,2,0.5,0.1,0.0597691535949707,78504,0.433352735739232,0.370895328443253,0.476470198929512,0.433352735739232,0.427906976744186,0.357206627434491,0.448451354772666,0.427906976744186
3975,RBFN,MFE,100,0.001,32,Adam,0.00001,50,gaussian,fixed,3,0.5,0.1,0.0547645092010498,78504,0.433352735739232,0.370895328443253,0.476470198929512,0.433352735739232,0.427906976744186,0.357206627434491,0.448451354772666,0.427906976744186
3987,RBFN,MFE,100,0.001,32,Adam,0.00001,50,gaussian,fixed,5,0.5,0.1,0.0624880790710449,78504,0.433352735739232,0.370895328443253,0.476470198929512,0.433352735739232,0.427906976744186,0.357206627434491,0.448451354772666,0.427906976744186
