run_id,model_name,feature_type,epochs,lr,batch_size,Optimizer,weight_decay,Neurons,Layers,dp ratio,Activation,Training Time (s),C++ File Size (B),Accuracy (Train),F1 Score (Train),Precision (Train),Recall (Train),Accuracy (Test),F1 Score  (Test),Precision  (Test),Recall  (Test)
502,FAN,MFCC,100,0.001,32,AdamW,0.00001,64,3,0.4,Relu,7.9636766910553,35405,1,1,1,1,0.988372093023256,0.988337834860615,0.98838526503001,0.988372093023256
54,FAN,MFCC,100,0.001,32,Adam,0.00001,32,2,0.3,Gelu,6.67335081100464,15385,1,1,1,1,0.987209302325581,0.987238056039788,0.987528152752966,0.987209302325581
495,FAN,MFCC,100,0.001,32,AdamW,0.00001,64,3,0.2,Gelu,7.5403470993042,45197,1,1,1,1,0.986046511627907,0.986017375225355,0.98617833064467,0.986046511627907
672,FAN,MFE,100,0.001,32,Adam,0.00001,64,2,0.1,Gelu,6.23840141296387,33881,1,1,1,1,0.986046511627907,0.985993936258158,0.986168357842074,0.986046511627907
1071,FAN,MFE,100,0.001,32,AdamW,0.00001,64,3,0.2,Gelu,7.82393312454224,45197,1,1,1,1,0.986046511627907,0.986047706530066,0.986288136839767,0.986046511627907
1108,FAN,MFE,100,0.001,32,AdamW,0.00001,128,2,0.2,Relu,6.42289662361145,58649,1,1,1,1,0.986046511627907,0.986011913783045,0.986272849974338,0.986046511627907
239,FAN,MFCC,100,0.001,32,SGD,0.00001,16,5,0.4,Silu,10.1927156448364,12985,0.990104772991851,0.990107932016153,0.990161243557087,0.990104772991851,0.854651162790698,0.854057649362292,0.855083905955874,0.854651162790698
234,FAN,MFCC,100,0.001,32,SGD,0.00001,16,5,0.3,Gelu,9.98814177513123,14329,0.999708963911525,0.999708955044664,0.999709960610458,0.999708963911525,0.902325581395349,0.90300924640375,0.904422331851224,0.902325581395349
283,FAN,MFCC,100,0.001,32,SGD,0.00001,32,5,0.3,Relu,10.2498531341553,26937,1,1,1,1,0.909302325581395,0.909450574783999,0.910279297191087,0.909302325581395
789,FAN,MFE,100,0.001,32,SGD,0.00001,16,3,0.4,gelu,7.27266240119934,9805,0.979336437718277,0.979339080377025,0.979411273614849,0.979336437718277,0.955813953488372,0.955946314506366,0.956758797834379,0.955813953488372
809,FAN,MFE,100,0.001,32,SGD,0.00001,16,5,0.2,silu,9.85964012145996,15033,0.980791618160652,0.980795862939892,0.980938347924491,0.980791618160652,0.918604651162791,0.918479437034963,0.920213355296909,0.918604651162791
814,FAN,MFE,100,0.001,32,SGD,0.00001,16,5,0.4,relu,10.1263880729675,12985,0.981664726426077,0.981753197016911,0.98197409772478,0.981664726426077,0.924418604651163,0.924402210717175,0.925087394487797,0.924418604651163
