run_id,model_name,feature_type,epochs,lr,batch_size,Optimizer,weight_decay,Scenario,Init Weight,Dropout,Training Time (s),C++ File Size (B),Accuracy (Train),F1 Score (Train),Precision (Train),Recall (Train),Accuracy (Test),F1 Score  (Test),Precision  (Test),Recall  (Test)
61,MLP,MFCC,100,0.001,32,SGD,0.00001,0,HeNormal,0.2,0.63592791557312,47198,0.986903376018626,0.98690033131701,0.986941664108663,0.986903376018626,0.96046511627907,0.960389719684013,0.960652564043846,0.96046511627907
129,MLP,MFCC,100,0.001,32,AdamW,0.00001,0,GlorotUniform,0,0.63260555267334,47188,0.982828870779977,0.982888775872324,0.983098357762134,0.982828870779977,0.958139534883721,0.958143651944956,0.958488113419324,0.958139534883721
74,MLP,MFCC,100,0.001,32,SGD,0.00001,0,HeNormal,0.5,0.62950325012207,47064,0.983410942956927,0.983432746395923,0.983510887678125,0.983410942956927,0.953488372093023,0.953645206384489,0.954300379674749,0.953488372093023
302,MLP,MFE,100,0.001,32,AdamW,0.00001,0,HeNormal,0.5,0.639931440353394,46050,0.960419091967404,0.960755926561808,0.961961912101233,0.960419091967404,0.930232558139535,0.930236345137048,0.932186710401736,0.930232558139535
312,MLP,MFE,100,0.001,32,AdamW,0.00001,0,HeNormal,0,0.636714458465576,45666,0.866705471478463,0.869063234549705,0.874463274734399,0.866705471478463,0.81046511627907,0.8144782602056,0.825782794956662,0.81046511627907
190,MLP,MFE,100,0.001,32,Adam,0.00001,0,GlorotUniform,0.2,0.627819299697876,45720,0.864668218859139,0.865313329273568,0.868420771695441,0.864668218859139,0.82093023255814,0.823314495429253,0.833067072539832,0.82093023255814
61,MLP,MFCC,100,0.001,32,SGD,0.00001,0,HeNormal,0.2,0.63592791557312,47198,0.986903376018626,0.98690033131701,0.986941664108663,0.986903376018626,0.96046511627907,0.960389719684013,0.960652564043846,0.96046511627907
129,MLP,MFCC,100,0.001,32,AdamW,0.00001,0,GlorotUniform,0,0.63260555267334,47188,0.982828870779977,0.982888775872324,0.983098357762134,0.982828870779977,0.958139534883721,0.958143651944956,0.958488113419324,0.958139534883721
74,MLP,MFCC,100,0.001,32,SGD,0.00001,0,HeNormal,0.5,0.62950325012207,47064,0.983410942956927,0.983432746395923,0.983510887678125,0.983410942956927,0.953488372093023,0.953645206384489,0.954300379674749,0.953488372093023
302,MLP,MFE,100,0.001,32,AdamW,0.00001,0,HeNormal,0.5,0.639931440353394,46050,0.960419091967404,0.960755926561808,0.961961912101233,0.960419091967404,0.930232558139535,0.930236345137048,0.932186710401736,0.930232558139535
300,MLP,MFE,100,0.001,32,AdamW,0.00001,0,HeNormal,0,0.678401470184326,45403,0.844295692665891,0.842703375262086,0.847715182996665,0.844295692665891,0.830232558139535,0.829653450084371,0.837386675933035,0.830232558139535
311,MLP,MFE,100,0.001,32,AdamW,0.00001,0,GlorotUniform,0.5,0.632461309432983,45604,0.84778812572759,0.848842910284257,0.856777100880053,0.84778812572759,0.823255813953488,0.822601367978717,0.832670616780888,0.823255813953488
