run_id,model_name,feature_type,epochs,lr,batch_size,optimizer,weight_decay,cnn_conv_layers,cnn_filters,cnn_kernel,cnn_dense_layers,cnn_dense_units,cnn_dropout,fan_hidden,fan_layers,d_p_ratio,fan_activation,mlp_scenario,mlp_init_weight,mlp_dropout,kan_hidden,kan_grid,kan_k,kan_lambda,rbf_units,rbf_type,rbf_width_method,rbf_p_neighbors,rbf_fixed_width,rbf_regularization,accuracy_test,f1_score_test,precision_test,recall_test,accuracy_train,f1_score_train,precision_train,recall_train,inference_time_sec,training_time_sec,cpp_code_size_bytes
0,CNN,mfcc,100,0.001,32,adam,1e-5,1,16,3,0,32,0.0,,,,,,,,,,,,,,,,,,0.9186046511627907,0.9187170067810912,0.9191056325016094,0.9186046511627907,1.0,1.0,1.0,1.0,6.306670432867006e-05,6.836151123046875,63345
1,CNN,mfcc,100,0.001,32,adam,1e-5,1,16,3,0,32,0.25,,,,,,,,,,,,,,,,,,0.9116279069767442,0.9116840917751212,0.9138455793427527,0.9116279069767442,1.0,1.0,1.0,1.0,5.5126533951870234e-05,6.6890435218811035,63315
2,CNN,mfcc,100,0.001,32,adam,1e-5,1,16,3,0,64,0.0,,,,,,,,,,,,,,,,,,0.9174418604651163,0.9177620760382116,0.9187548393541062,0.9174418604651163,0.9997089639115251,0.9997089399877002,0.9997099504745367,0.9997089639115251,5.590444387391556e-05,6.760077476501465,63329
3,CNN,mfcc,100,0.001,32,adam,1e-5,1,16,3,0,64,0.25,,,,,,,,,,,,,,,,,,0.9162790697674419,0.9167710520648904,0.9182930942496672,0.9162790697674419,1.0,1.0,1.0,1.0,5.610571351162223e-05,6.768092393875122,63370
4,CNN,mfcc,100,0.001,32,adam,1e-5,1,16,3,0,128,0.0,,,,,,,,,,,,,,,,,,0.9337209302325581,0.9336886982438104,0.9344196213437652,0.9337209302325581,1.0,1.0,1.0,1.0,5.558285602303438e-05,6.785498380661011,63348
5,CNN,mfcc,100,0.001,32,adam,1e-5,1,16,3,0,128,0.25,,,,,,,,,,,,,,,,,,0.9151162790697674,0.9154459330027931,0.9175032213104405,0.9151162790697674,1.0,1.0,1.0,1.0,5.792434825453647e-05,6.80342960357666,63346
6,CNN,mfcc,100,0.001,32,adam,1e-5,1,16,3,1,32,0.0,,,,,,,,,,,,,,,,,,0.9186046511627907,0.9184226310436723,0.9192808288054722,0.9186046511627907,1.0,1.0,1.0,1.0,6.860466890556868e-05,7.48187255859375,160045
7,CNN,mfcc,100,0.001,32,adam,1e-5,1,16,3,1,32,0.25,,,,,,,,,,,,,,,,,,0.9267441860465117,0.9270129607108376,0.9282506173574329,0.9267441860465117,1.0,1.0,1.0,1.0,6.742560586263967e-05,7.37950325012207,160002
8,CNN,mfcc,100,0.001,32,adam,1e-5,1,16,3,1,64,0.0,,,,,,,,,,,,,,,,,,0.9325581395348838,0.9331426144318953,0.9351483014878877,0.9325581395348838,1.0,1.0,1.0,1.0,6.733245627824651e-05,7.197928428649902,310542
9,CNN,mfcc,100,0.001,32,adam,1e-5,1,16,3,1,64,0.25,,,,,,,,,,,,,,,,,,0.9290697674418604,0.9298251311174753,0.9318492471083856,0.9290697674418604,1.0,1.0,1.0,1.0,6.793349288230718e-05,7.55056095123291,310722
10,CNN,mfcc,100,0.001,32,adam,1e-5,1,16,3,1,128,0.0,,,,,,,,,,,,,,,,,,0.9232558139534883,0.9241806827275028,0.9275383603799344,0.9232558139534883,1.0,1.0,1.0,1.0,6.751016128894895e-05,7.660914421081543,611484
11,CNN,mfcc,100,0.001,32,adam,1e-5,1,16,3,1,128,0.25,,,,,,,,,,,,,,,,,,0.9325581395348838,0.9328096689674501,0.9339624248424072,0.9325581395348838,1.0,1.0,1.0,1.0,6.743281386619391e-05,7.6034018993377686,611577
12,CNN,mfcc,100,0.001,32,adam,1e-5,1,16,3,2,32,0.0,,,,,,,,,,,,,,,,,,0.9162790697674419,0.9167172368020461,0.9187325498717445,0.9162790697674419,1.0,1.0,1.0,1.0,7.900193680164426e-05,7.7384724617004395,175555
13,CNN,mfcc,100,0.001,32,adam,1e-5,1,16,3,2,32,0.25,,,,,,,,,,,,,,,,,,0.9127906976744186,0.9127757112416248,0.9135392096719509,0.9127906976744186,1.0,1.0,1.0,1.0,7.868367572163426e-05,8.076833009719849,175653
14,CNN,mfcc,100,0.001,32,adam,1e-5,1,16,3,2,64,0.0,,,,,,,,,,,,,,,,,,0.9267441860465117,0.9268589288356509,0.9272981932006669,0.9267441860465117,1.0,1.0,1.0,1.0,7.906154144641965e-05,8.289661169052124,369496
15,CNN,mfcc,100,0.001,32,adam,1e-5,1,16,3,2,64,0.25,,,,,,,,,,,,,,,,,,0.9302325581395349,0.9306450217688693,0.9321333210553056,0.9302325581395349,1.0,1.0,1.0,1.0,7.989545201146326e-05,7.922978639602661,369645
16,CNN,mfcc,100,0.001,32,adam,1e-5,1,16,3,2,128,0.0,,,,,,,,,,,,,,,,,,0.9325581395348838,0.9327537473863128,0.9338710389549837,0.9325581395348838,1.0,1.0,1.0,1.0,7.876518160797828e-05,8.299193143844604,845613
17,CNN,mfcc,100,0.001,32,adam,1e-5,1,16,3,2,128,0.25,,,,,,,,,,,,,,,,,,0.9255813953488372,0.926013681515147,0.9276090651400909,0.9255813953488372,1.0,1.0,1.0,1.0,8.044769597607989e-05,7.904653549194336,845079
18,CNN,mfcc,100,0.001,32,adam,1e-5,1,16,5,0,32,0.0,,,,,,,,,,,,,,,,,,0.9046511627906977,0.9050260809869405,0.9063938911726552,0.9046511627906977,1.0,1.0,1.0,1.0,5.942305853200513e-05,6.627690076828003,45243
19,CNN,mfcc,100,0.001,32,adam,1e-5,1,16,5,0,32,0.25,,,,,,,,,,,,,,,,,,0.9046511627906977,0.9047154950165895,0.9055007832773359,0.9046511627906977,1.0,1.0,1.0,1.0,5.841310634169468e-05,6.215859413146973,45240
20,CNN,mfcc,100,0.001,32,adam,1e-5,1,16,5,0,64,0.0,,,,,,,,,,,,,,,,,,0.8965116279069767,0.8969281442191007,0.8992230510230161,0.8965116279069767,1.0,1.0,1.0,1.0,5.897838015889012e-05,6.6011962890625,45223
21,CNN,mfcc,100,0.001,32,adam,1e-5,1,16,5,0,64,0.25,,,,,,,,,,,,,,,,,,0.8953488372093024,0.8960575455155659,0.8997280168075454,0.8953488372093024,0.9997089639115251,0.9997089605096732,0.9997099504745367,0.9997089639115251,5.880206130271734e-05,6.668826341629028,45247
22,CNN,mfcc,100,0.001,32,adam,1e-5,1,16,5,0,128,0.0,,,,,,,,,,,,,,,,,,0.9244186046511628,0.9247548143734274,0.9261815434067542,0.9244186046511628,1.0,1.0,1.0,1.0,5.8230411174685455e-05,6.185646057128906,45250
23,CNN,mfcc,100,0.001,32,adam,1e-5,1,16,5,0,128,0.25,,,,,,,,,,,,,,,,,,0.9093023255813953,0.9100418559652435,0.9129934820940587,0.9093023255813953,1.0,1.0,1.0,1.0,5.885334902031477e-05,6.646578311920166,45230
24,CNN,mfcc,100,0.001,32,adam,1e-5,1,16,5,1,32,0.0,,,,,,,,,,,,,,,,,,0.8825581395348837,0.881696187641813,0.8882165251624401,0.8825581395348837,0.979336437718277,0.9793429123374102,0.980454969401045,0.979336437718277,7.055304771245912e-05,7.366404294967651,105843
25,CNN,mfcc,100,0.001,32,adam,1e-5,1,16,5,1,32,0.25,,,,,,,,,,,,,,,,,,0.8895348837209303,0.8893112558799924,0.8899394050478532,0.8895348837209303,1.0,1.0,1.0,1.0,7.031546082607536e-05,7.200337648391724,105836
26,CNN,mfcc,100,0.001,32,adam,1e-5,1,16,5,1,64,0.0,,,,,,,,,,,,,,,,,,0.9058139534883721,0.9062824453160797,0.9078295490983479,0.9058139534883721,1.0,1.0,1.0,1.0,7.10900439772495e-05,6.96323299407959,198552
27,CNN,mfcc,100,0.001,32,adam,1e-5,1,16,5,1,64,0.25,,,,,,,,,,,,,,,,,,0.9046511627906977,0.9050636023900979,0.9073256886677099,0.9046511627906977,1.0,1.0,1.0,1.0,6.990515908529592e-05,7.395652532577515,198423
28,CNN,mfcc,100,0.001,32,adam,1e-5,1,16,5,1,128,0.0,,,,,,,,,,,,,,,,,,0.9162790697674419,0.9169837776771723,0.9188367600973578,0.9162790697674419,1.0,1.0,1.0,1.0,7.00986662576365e-05,7.321792364120483,383450
29,CNN,mfcc,100,0.001,32,adam,1e-5,1,16,5,1,128,0.25,,,,,,,,,,,,,,,,,,0.9081395348837209,0.9086307628980698,0.910548085597218,0.9081395348837209,1.0,1.0,1.0,1.0,7.164533748183139e-05,7.5169618129730225,383814
30,CNN,mfcc,100,0.001,32,adam,1e-5,1,16,5,2,32,0.0,,,,,,,,,,,,,,,,,,0.8825581395348837,0.8829236068603766,0.8841088657704741,0.8825581395348837,1.0,1.0,1.0,1.0,8.292031842608785e-05,7.896999835968018,121370
31,CNN,mfcc,100,0.001,32,adam,1e-5,1,16,5,2,32,0.25,,,,,,,,,,,,,,,,,,0.8802325581395349,0.8800838790638884,0.880915729024974,0.8802325581395349,1.0,1.0,1.0,1.0,8.118568464767101e-05,7.9398651123046875,121249
32,CNN,mfcc,100,0.001,32,adam,1e-5,1,16,5,2,64,0.0,,,,,,,,,,,,,,,,,,0.9034883720930232,0.903515074004698,0.90412868692855,0.9034883720930232,1.0,1.0,1.0,1.0,8.465134820272756e-05,8.080228567123413,257521
33,CNN,mfcc,100,0.001,32,adam,1e-5,1,16,5,2,64,0.25,,,,,,,,,,,,,,,,,,0.891860465116279,0.8918573212650333,0.89305691831009,0.891860465116279,1.0,1.0,1.0,1.0,8.201155551644259e-05,8.052151203155518,257649
34,CNN,mfcc,100,0.001,32,adam,1e-5,1,16,5,2,128,0.0,,,,,,,,,,,,,,,,,,0.9081395348837209,0.9085461556677538,0.9100895075005739,0.9081395348837209,1.0,1.0,1.0,1.0,8.306198341901912e-05,7.758132219314575,617047
35,CNN,mfcc,100,0.001,32,adam,1e-5,1,16,5,2,128,0.25,,,,,,,,,,,,,,,,,,0.913953488372093,0.9143191102695968,0.9157452759808951,0.913953488372093,1.0,1.0,1.0,1.0,8.174790892490121e-05,7.667357444763184,616963
36,CNN,mfcc,100,0.001,32,adam,1e-5,1,32,3,0,32,0.0,,,,,,,,,,,,,,,,,,0.9395348837209302,0.9395385084923337,0.9401223595466152,0.9395348837209302,1.0,1.0,1.0,1.0,5.7186082352039424e-05,6.779544830322266,119937
37,CNN,mfcc,100,0.001,32,adam,1e-5,1,32,3,0,32,0.25,,,,,,,,,,,,,,,,,,0.9511627906976744,0.951287735797856,0.9518062364655693,0.9511627906976744,1.0,1.0,1.0,1.0,5.544174549191497e-05,6.791822671890259,119862
38,CNN,mfcc,100,0.001,32,adam,1e-5,1,32,3,0,64,0.0,,,,,,,,,,,,,,,,,,0.9313953488372093,0.9315211245172067,0.932393254023329,0.9313953488372093,1.0,1.0,1.0,1.0,5.603779193966888e-05,6.81368613243103,119879
39,CNN,mfcc,100,0.001,32,adam,1e-5,1,32,3,0,64,0.25,,,,,,,,,,,,,,,,,,0.9476744186046512,0.9480213254385155,0.949322642194312,0.9476744186046512,1.0,1.0,1.0,1.0,5.543121071748955e-05,6.820285320281982,119876
40,CNN,mfcc,100,0.001,32,adam,1e-5,1,32,3,0,128,0.0,,,,,,,,,,,,,,,,,,0.9430232558139535,0.9431608583412974,0.9435916104029191,0.9430232558139535,1.0,1.0,1.0,1.0,5.617751631625863e-05,6.7959253787994385,119898
41,CNN,mfcc,100,0.001,32,adam,1e-5,1,32,3,0,128,0.25,,,,,,,,,,,,,,,,,,0.9406976744186046,0.9409883019329395,0.9426474471115363,0.9406976744186046,1.0,1.0,1.0,1.0,5.626013112622638e-05,6.828646421432495,119956
42,CNN,mfcc,100,0.001,32,adam,1e-5,1,32,3,1,32,0.0,,,,,,,,,,,,,,,,,,0.9395348837209302,0.9397485676942151,0.9407458880582018,0.9395348837209302,1.0,1.0,1.0,1.0,6.847326145615689e-05,7.255869388580322,307100
43,CNN,mfcc,100,0.001,32,adam,1e-5,1,32,3,1,32,0.25,,,,,,,,,,,,,,,,,,0.9418604651162791,0.9419883335772551,0.9433146647255652,0.9418604651162791,1.0,1.0,1.0,1.0,6.739760554114054e-05,7.049610614776611,307348
44,CNN,mfcc,100,0.001,32,adam,1e-5,1,32,3,1,64,0.0,,,,,,,,,,,,,,,,,,0.9395348837209302,0.9394875030298423,0.9398068167823469,0.9395348837209302,1.0,1.0,1.0,1.0,6.974990977797397e-05,7.275921106338501,602505
45,CNN,mfcc,100,0.001,32,adam,1e-5,1,32,3,1,64,0.25,,,,,,,,,,,,,,,,,,0.9430232558139535,0.9433061868496483,0.9440183918866573,0.9430232558139535,1.0,1.0,1.0,1.0,6.902966388436252e-05,7.044396638870239,602589
46,CNN,mfcc,100,0.001,32,adam,1e-5,1,32,3,1,128,0.0,,,,,,,,,,,,,,,,,,0.9372093023255814,0.9374442683439218,0.9385695443630045,0.9372093023255814,1.0,1.0,1.0,1.0,6.762992504031159e-05,7.93707537651062,1194045
47,CNN,mfcc,100,0.001,32,adam,1e-5,1,32,3,1,128,0.25,,,,,,,,,,,,,,,,,,0.9476744186046512,0.9478508483932888,0.948698738660114,0.9476744186046512,1.0,1.0,1.0,1.0,6.823428841524345e-05,7.853775262832642,1192868
48,CNN,mfcc,100,0.001,32,adam,1e-5,1,32,3,2,32,0.0,,,,,,,,,,,,,,,,,,0.9279069767441861,0.9280282797026108,0.9294636090102142,0.9279069767441861,1.0,1.0,1.0,1.0,7.811784744262695e-05,8.097559213638306,322720
49,CNN,mfcc,100,0.001,32,adam,1e-5,1,32,3,2,32,0.25,,,,,,,,,,,,,,,,,,0.9255813953488372,0.9260320068962425,0.9277389078109761,0.9255813953488372,1.0,1.0,1.0,1.0,7.907096729722134e-05,8.136669397354126,322589
50,CNN,mfcc,100,0.001,32,adam,1e-5,1,32,3,2,64,0.0,,,,,,,,,,,,,,,,,,0.9383720930232559,0.9387154936142105,0.9399114469848896,0.9383720930232559,1.0,1.0,1.0,1.0,8.068140162978062e-05,8.193410634994507,661040
51,CNN,mfcc,100,0.001,32,adam,1e-5,1,32,3,2,64,0.25,,,,,,,,,,,,,,,,,,0.9348837209302325,0.9349854862064283,0.9364499068985808,0.9348837209302325,1.0,1.0,1.0,1.0,8.067031239354334e-05,8.232179880142212,660646
52,CNN,mfcc,100,0.001,32,adam,1e-5,1,32,3,2,128,0.0,,,,,,,,,,,,,,,,,,0.9313953488372093,0.9317761512512588,0.9333491375224129,0.9313953488372093,1.0,1.0,1.0,1.0,7.978844088177349e-05,8.514136791229248,1426822
53,CNN,mfcc,100,0.001,32,adam,1e-5,1,32,3,2,128,0.25,,,,,,,,,,,,,,,,,,0.9290697674418604,0.9296847257316279,0.931636805352278,0.9290697674418604,1.0,1.0,1.0,1.0,7.893429246059684e-05,8.233492136001587,1426241
54,CNN,mfcc,100,0.001,32,adam,1e-5,1,32,5,0,32,0.0,,,,,,,,,,,,,,,,,,0.9348837209302325,0.9348484002153656,0.9354492132581168,0.9348837209302325,1.0,1.0,1.0,1.0,5.973965622657953e-05,6.754465341567993,83685
55,CNN,mfcc,100,0.001,32,adam,1e-5,1,32,5,0,32,0.25,,,,,,,,,,,,,,,,,,0.9255813953488372,0.9254317502558556,0.9261185968897936,0.9255813953488372,1.0,1.0,1.0,1.0,5.884420040041901e-05,6.663274526596069,83684
56,CNN,mfcc,100,0.001,32,adam,1e-5,1,32,5,0,64,0.0,,,,,,,,,,,,,,,,,,0.9430232558139535,0.9431236519589993,0.9437929274930216,0.9430232558139535,1.0,1.0,1.0,1.0,5.949513856754746e-05,6.861988306045532,83690
57,CNN,mfcc,100,0.001,32,adam,1e-5,1,32,5,0,64,0.25,,,,,,,,,,,,,,,,,,0.9255813953488372,0.925900809816933,0.9274116290293531,0.9255813953488372,1.0,1.0,1.0,1.0,5.942084068475768e-05,6.373245477676392,83694
58,CNN,mfcc,100,0.001,32,adam,1e-5,1,32,5,0,128,0.0,,,,,,,,,,,,,,,,,,0.9279069767441861,0.9281079843709066,0.9290687435905638,0.9279069767441861,1.0,1.0,1.0,1.0,5.870586217835892e-05,6.855260372161865,83658
59,CNN,mfcc,100,0.001,32,adam,1e-5,1,32,5,0,128,0.25,,,,,,,,,,,,,,,,,,0.9430232558139535,0.9432922580184127,0.9444628549547278,0.9430232558139535,1.0,1.0,1.0,1.0,5.9137787929801056e-05,6.795871257781982,83632
60,CNN,mfcc,100,0.001,32,adam,1e-5,1,32,5,1,32,0.0,,,,,,,,,,,,,,,,,,0.9151162790697674,0.91518150113331,0.9166003640638138,0.9151162790697674,1.0,1.0,1.0,1.0,6.887164226798124e-05,7.45429801940918,198892
61,CNN,mfcc,100,0.001,32,adam,1e-5,1,32,5,1,32,0.25,,,,,,,,,,,,,,,,,,0.9290697674418604,0.9294254896803672,0.9305166466427025,0.9290697674418604,1.0,1.0,1.0,1.0,6.908538729645486e-05,7.144594669342041,198540
62,CNN,mfcc,100,0.001,32,adam,1e-5,1,32,5,1,64,0.0,,,,,,,,,,,,,,,,,,0.9337209302325581,0.9338840699094482,0.9349113422489113,0.9337209302325581,1.0,1.0,1.0,1.0,7.336389186770417e-05,6.826925992965698,378125
63,CNN,mfcc,100,0.001,32,adam,1e-5,1,32,5,1,64,0.25,,,,,,,,,,,,,,,,,,0.9279069767441861,0.9282261333863531,0.9294175807924099,0.9279069767441861,1.0,1.0,1.0,1.0,6.885168164275413e-05,7.297401666641235,378028
64,CNN,mfcc,100,0.001,32,adam,1e-5,1,32,5,1,128,0.0,,,,,,,,,,,,,,,,,,0.9232558139534883,0.9234497347487801,0.9246449609267999,0.9232558139534883,1.0,1.0,1.0,1.0,6.845884544904842e-05,7.542990684509277,736667
