run_id,model_name,feature_type,epochs,lr,batch_size,optimizer,weight_decay,cnn_conv_layers,cnn_filters,cnn_kernel,cnn_dense_layers,cnn_dense_units,cnn_dropout,fan_hidden,fan_layers,d_p_ratio,fan_activation,mlp_scenario,mlp_init_weight,mlp_dropout,kan_hidden,kan_grid,kan_k,kan_lambda,rbf_units,rbf_type,rbf_width_method,rbf_p_neighbors,rbf_fixed_width,rbf_regularization,accuracy_test,f1_score_test,precision_test,recall_test,accuracy_train,f1_score_train,precision_train,recall_train,inference_time_sec,training_time_sec,cpp_code_size_bytes
0,FAN,mfcc,100,0.001,32,adam,1e-5,,,,,,,16,2,0.1,gelu,,,,,,,,,,,,,,0.9744186046511628,0.974588440340852,0.9750734810993292,0.9744186046511628,1.0,1.0,1.0,1.0,3.8625195968982785e-05,6.920761585235596,10777
1,FAN,mfcc,100,0.001,32,adam,1e-5,,,,,,,16,2,0.1,relu,,,,,,,,,,,,,,0.9686046511627907,0.9685549435907831,0.9687819585632,0.9686046511627907,1.0,1.0,1.0,1.0,3.9092884507290156e-05,6.739198923110962,10777
2,FAN,mfcc,100,0.001,32,adam,1e-5,,,,,,,16,2,0.1,silu,,,,,,,,,,,,,,0.9802325581395349,0.9802918081772659,0.9807755821280715,0.9802325581395349,1.0,1.0,1.0,1.0,3.9551424425701766e-05,6.727173328399658,10777
3,FAN,mfcc,100,0.001,32,adam,1e-5,,,,,,,16,2,0.2,gelu,,,,,,,,,,,,,,0.9686046511627907,0.9686413054631919,0.9691628046674658,0.9686046511627907,1.0,1.0,1.0,1.0,3.925811412722565e-05,6.692634582519531,9817
4,FAN,mfcc,100,0.001,32,adam,1e-5,,,,,,,16,2,0.2,relu,,,,,,,,,,,,,,0.9709302325581395,0.970780727230522,0.9711728388139975,0.9709302325581395,1.0,1.0,1.0,1.0,3.9924854455992234e-05,6.703183174133301,9817
5,FAN,mfcc,100,0.001,32,adam,1e-5,,,,,,,16,2,0.2,silu,,,,,,,,,,,,,,0.9709302325581395,0.9709500802179939,0.9714162018451258,0.9709302325581395,1.0,1.0,1.0,1.0,3.935874894607899e-05,6.699456214904785,9817
6,FAN,mfcc,100,0.001,32,adam,1e-5,,,,,,,16,2,0.3,gelu,,,,,,,,,,,,,,0.963953488372093,0.963912547701499,0.9642454862449638,0.963953488372093,1.0,1.0,1.0,1.0,3.901692323906477e-05,6.712082862854004,9305
7,FAN,mfcc,100,0.001,32,adam,1e-5,,,,,,,16,2,0.3,relu,,,,,,,,,,,,,,0.963953488372093,0.9638974280506204,0.9642731209881611,0.963953488372093,1.0,1.0,1.0,1.0,3.924730212189431e-05,6.696635007858276,9305
8,FAN,mfcc,100,0.001,32,adam,1e-5,,,,,,,16,2,0.3,silu,,,,,,,,,,,,,,0.9709302325581395,0.9708699006894638,0.9711646183314852,0.9709302325581395,1.0,1.0,1.0,1.0,3.885224808094113e-05,6.680638074874878,9305
9,FAN,mfcc,100,0.001,32,adam,1e-5,,,,,,,16,2,0.4,gelu,,,,,,,,,,,,,,0.9651162790697675,0.9649807447927603,0.965733248758256,0.9651162790697675,1.0,1.0,1.0,1.0,3.9273639057957846e-05,6.660828113555908,8345
10,FAN,mfcc,100,0.001,32,adam,1e-5,,,,,,,16,2,0.4,relu,,,,,,,,,,,,,,0.9627906976744186,0.962866345392636,0.9634101997135057,0.9627906976744186,1.0,1.0,1.0,1.0,3.964457401009493e-05,6.5793256759643555,8345
11,FAN,mfcc,100,0.001,32,adam,1e-5,,,,,,,16,2,0.4,silu,,,,,,,,,,,,,,0.9674418604651163,0.9674540131706579,0.9679809398263793,0.9674418604651163,1.0,1.0,1.0,1.0,3.902912139892578e-05,6.699974775314331,8345
12,FAN,mfcc,100,0.001,32,adam,1e-5,,,,,,,16,3,0.1,gelu,,,,,,,,,,,,,,0.9686046511627907,0.9684871684063519,0.9687663415196845,0.9686046511627907,1.0,1.0,1.0,1.0,6.874272989672284e-05,8.465464115142822,12557
13,FAN,mfcc,100,0.001,32,adam,1e-5,,,,,,,16,3,0.1,relu,,,,,,,,,,,,,,0.9755813953488373,0.9755937096416949,0.9757565880944815,0.9755813953488373,1.0,1.0,1.0,1.0,6.838066633357558e-05,8.40990161895752,12557
14,FAN,mfcc,100,0.001,32,adam,1e-5,,,,,,,16,3,0.1,silu,,,,,,,,,,,,,,0.9662790697674418,0.9662450021474773,0.966646518937391,0.9662790697674418,1.0,1.0,1.0,1.0,6.730112918587619e-05,8.257882356643677,12557
15,FAN,mfcc,100,0.001,32,adam,1e-5,,,,,,,16,3,0.2,gelu,,,,,,,,,,,,,,0.9697674418604652,0.9696630252319853,0.9698611986536202,0.9697674418604652,1.0,1.0,1.0,1.0,6.711898848067882e-05,8.266072273254395,11469
16,FAN,mfcc,100,0.001,32,adam,1e-5,,,,,,,16,3,0.2,relu,,,,,,,,,,,,,,0.9674418604651163,0.96744236984333,0.9679844030589432,0.9674418604651163,1.0,1.0,1.0,1.0,6.764933120372684e-05,8.174912929534912,11469
17,FAN,mfcc,100,0.001,32,adam,1e-5,,,,,,,16,3,0.2,silu,,,,,,,,,,,,,,0.9558139534883721,0.9557586853751431,0.9559325101705842,0.9558139534883721,1.0,1.0,1.0,1.0,6.731194119120754e-05,8.318331956863403,11469
18,FAN,mfcc,100,0.001,32,adam,1e-5,,,,,,,16,3,0.3,gelu,,,,,,,,,,,,,,0.958139534883721,0.9582952621378006,0.9587489671904486,0.958139534883721,1.0,1.0,1.0,1.0,6.753012191417606e-05,7.80400276184082,10893
19,FAN,mfcc,100,0.001,32,adam,1e-5,,,,,,,16,3,0.3,relu,,,,,,,,,,,,,,0.9616279069767442,0.9616678447989574,0.962217082589744,0.9616279069767442,1.0,1.0,1.0,1.0,7.20415004464083e-05,7.739535808563232,10893
20,FAN,mfcc,100,0.001,32,adam,1e-5,,,,,,,16,3,0.3,silu,,,,,,,,,,,,,,0.9720930232558139,0.9719738866370478,0.9722338892279296,0.9720930232558139,1.0,1.0,1.0,1.0,6.84569048327069e-05,8.047157049179077,10893
21,FAN,mfcc,100,0.001,32,adam,1e-5,,,,,,,16,3,0.4,gelu,,,,,,,,,,,,,,0.9418604651162791,0.9419844269057511,0.9429194478282956,0.9418604651162791,1.0,1.0,1.0,1.0,6.710512693538222e-05,7.7209107875823975,9805
22,FAN,mfcc,100,0.001,32,adam,1e-5,,,,,,,16,3,0.4,relu,,,,,,,,,,,,,,0.9604651162790697,0.9603335208985235,0.9609476432902028,0.9604651162790697,1.0,1.0,1.0,1.0,6.767705429432004e-05,8.284424304962158,9805
23,FAN,mfcc,100,0.001,32,adam,1e-5,,,,,,,16,3,0.4,silu,,,,,,,,,,,,,,0.9616279069767442,0.9615273479254074,0.9617038588646276,0.9616279069767442,1.0,1.0,1.0,1.0,6.781650144000386e-05,8.26230001449585,9805
24,FAN,mfcc,100,0.001,32,adam,1e-5,,,,,,,16,4,0.1,gelu,,,,,,,,,,,,,,0.9744186046511628,0.9744626908014147,0.9749683977490413,0.9744186046511628,1.0,1.0,1.0,1.0,9.532307469567587e-05,9.28674030303955,14402
25,FAN,mfcc,100,0.001,32,adam,1e-5,,,,,,,16,4,0.1,relu,,,,,,,,,,,,,,0.9534883720930233,0.9535893447380669,0.954261811690424,0.9534883720930233,1.0,1.0,1.0,1.0,0.0001028246657792912,9.417978763580322,14402
26,FAN,mfcc,100,0.001,32,adam,1e-5,,,,,,,16,4,0.1,silu,,,,,,,,,,,,,,0.9569767441860465,0.9568718803764245,0.9571586838383059,0.9569767441860465,1.0,1.0,1.0,1.0,9.674332862676577e-05,9.713933944702148,14402
27,FAN,mfcc,100,0.001,32,adam,1e-5,,,,,,,16,4,0.2,gelu,,,,,,,,,,,,,,0.9546511627906977,0.9545500822798048,0.9551248787915728,0.9546511627906977,0.9973806752037253,0.9973910174761106,0.9974433837686532,0.9973806752037253,9.652126667111419e-05,9.706254959106445,13186
28,FAN,mfcc,100,0.001,32,adam,1e-5,,,,,,,16,4,0.2,relu,,,,,,,,,,,,,,0.9651162790697675,0.9650020624733221,0.9656641785347454,0.9651162790697675,1.0,1.0,1.0,1.0,9.568985118422397e-05,9.781177997589111,13186
29,FAN,mfcc,100,0.001,32,adam,1e-5,,,,,,,16,4,0.2,silu,,,,,,,,,,,,,,0.9488372093023256,0.9488364291652801,0.9497668257601978,0.9488372093023256,1.0,1.0,1.0,1.0,9.606494459995004e-05,9.820903778076172,13186
30,FAN,mfcc,100,0.001,32,adam,1e-5,,,,,,,16,4,0.3,gelu,,,,,,,,,,,,,,0.9593023255813954,0.9592193657416076,0.9603979914704636,0.9593023255813954,1.0,1.0,1.0,1.0,9.393858355145121e-05,9.704063892364502,12546
31,FAN,mfcc,100,0.001,32,adam,1e-5,,,,,,,16,4,0.3,relu,,,,,,,,,,,,,,0.9453488372093023,0.9455533673298979,0.947083852915886,0.9453488372093023,1.0,1.0,1.0,1.0,9.592688360879588e-05,9.822736978530884,12546
32,FAN,mfcc,100,0.001,32,adam,1e-5,,,,,,,16,4,0.3,silu,,,,,,,,,,,,,,0.9488372093023256,0.948848150319472,0.9493537142691046,0.9488372093023256,0.9938882421420256,0.993888264858373,0.9939317885239916,0.9938882421420256,9.548580923745798e-05,9.737358808517456,12546
