run_id,model_name,feature_type,epochs,lr,batch_size,optimizer,weight_decay,cnn_conv_layers,cnn_filters,cnn_kernel,cnn_dense_layers,cnn_dense_units,cnn_dropout,fan_hidden,fan_layers,d_p_ratio,fan_activation,mlp_scenario,mlp_init_weight,mlp_dropout,kan_hidden,kan_grid,kan_k,kan_lambda,rbf_units,rbf_type,rbf_width_method,rbf_p_neighbors,rbf_fixed_width,rbf_regularization,accuracy_test,f1_score_test,precision_test,recall_test,accuracy_train,f1_score_train,precision_train,recall_train,inference_time_sec,training_time_sec,cpp_code_size_bytes
0,KAN,mfcc,100,0.001,32,Adam,1e-5,,,,,,,,,,,,,,5,3,3,0.0001,,,,,,,0.45,0.41510057915691534,0.4801852734805981,0.45,0.440046565774156,0.39697420110361176,0.4559963831340758,0.440046565774156,0.038368157453315205,0.9633314609527588,405718
1,KAN,mfcc,100,0.001,32,Adam,1e-5,,,,,,,,,,,,,,5,3,3,0.001,,,,,,,0.4418604651162791,0.39848368730553835,0.45809043233328406,0.4418604651162791,0.4371362048894063,0.3855563160110334,0.4406583207149372,0.4371362048894063,0.03869655354078426,0.501533031463623,303865
2,KAN,mfcc,100,0.001,32,Adam,1e-5,,,,,,,,,,,,,,5,3,3,0.01,,,,,,,0.08604651162790698,0.013634779144464917,0.00740400216333153,0.08604651162790698,0.08265424912689173,0.012620326210772715,0.006831724898730283,0.08265424912689173,0.038499844905941986,0.49936866760253906,123045
3,KAN,mfcc,100,0.001,32,Adam,1e-5,,,,,,,,,,,,,,5,3,5,0.0001,,,,,,,0.13023255813953488,0.11016283446763524,0.14042517124967807,0.13023255813953488,0.1210710128055879,0.09599814818559256,0.1330366365345296,0.1210710128055879,0.039254393134006235,0.5927882194519043,195695
4,KAN,mfcc,100,0.001,32,Adam,1e-5,,,,,,,,,,,,,,5,3,5,0.001,,,,,,,0.12906976744186047,0.10426733890483643,0.10731760475119256,0.12906976744186047,0.13824214202561116,0.113173393269457,0.13981992373136168,0.13824214202561116,0.039306144936140194,0.5634100437164307,195966
5,KAN,mfcc,100,0.001,32,Adam,1e-5,,,,,,,,,,,,,,5,3,5,0.01,,,,,,,0.10813953488372093,0.09206278786326119,0.09693947844808883,0.10813953488372093,0.1108847497089639,0.0971380731266172,0.11405532577026072,0.1108847497089639,0.03926885294359784,0.5868995189666748,159509
6,KAN,mfcc,100,0.001,32,Adam,1e-5,,,,,,,,,,,,,,5,5,3,0.0001,,,,,,,0.34418604651162793,0.2556500699491945,0.2854734512112862,0.34418604651162793,0.36554132712456344,0.2785134097139624,0.2934552314803432,0.36554132712456344,0.03850862979888916,0.5044784545898438,378804
7,KAN,mfcc,100,0.001,32,Adam,1e-5,,,,,,,,,,,,,,5,5,3,0.001,,,,,,,0.3313953488372093,0.23294261826431267,0.2450016330518377,0.3313953488372093,0.35244470314318976,0.2506439034918102,0.3278742286577077,0.35244470314318976,0.03886164094126502,0.5051159858703613,219597
8,KAN,mfcc,100,0.001,32,Adam,1e-5,,,,,,,,,,,,,,5,5,3,0.01,,,,,,,0.09069767441860466,0.016897515575843562,0.016386159921296422,0.09069767441860466,0.08207217694994179,0.01305280863964575,0.008621992541005874,0.08207217694994179,0.03858885376952415,0.4725520610809326,73888
10,KAN,mfcc,100,0.001,32,Adam,1e-5,,,,,,,,,,,,,,5,5,5,0.001,,,,,,,0.09186046511627907,0.04296500121197119,0.041758104672858044,0.09186046511627907,0.09109429569266589,0.04402065429632705,0.05580296187379932,0.09109429569266589,0.03928888897563136,0.5645453929901123,110433
11,KAN,mfcc,100,0.001,32,Adam,1e-5,,,,,,,,,,,,,,5,5,5,0.01,,,,,,,0.0872093023255814,0.05169232207414492,0.04042823629182732,0.0872093023255814,0.08410942956926659,0.05069123292583494,0.043533397556617906,0.08410942956926659,0.039347124931424164,0.5717613697052002,107703
12,KAN,mfcc,100,0.001,32,Adam,1e-5,,,,,,,,,,,,,,5,7,3,0.0001,,,,,,,0.45465116279069767,0.41665391304739324,0.4361933783663883,0.45465116279069767,0.47467986030267756,0.4378808852724769,0.46294089682570094,0.47467986030267756,0.03837479602458865,0.4801309108734131,370494
13,KAN,mfcc,100,0.001,32,Adam,1e-5,,,,,,,,,,,,,,5,7,3,0.001,,,,,,,0.4662790697674419,0.4204421033503103,0.47147480853420876,0.4662790697674419,0.4720605355064028,0.4166622038603647,0.4765485667263248,0.4720605355064028,0.038543703389722246,0.4969041347503662,250199
14,KAN,mfcc,100,0.001,32,Adam,1e-5,,,,,,,,,,,,,,5,7,3,0.01,,,,,,,0.07441860465116279,0.010320239864949985,0.0055445758995045615,0.07441860465116279,0.08556461001164144,0.013492086534418118,0.007323433869992019,0.08556461001164144,0.0386161956676217,0.5099842548370361,73038
15,KAN,mfcc,100,0.001,32,Adam,1e-5,,,,,,,,,,,,,,5,7,5,0.0001,,,,,,,0.08837209302325581,0.03569483329810333,0.041927034884014294,0.08837209302325581,0.08323632130384168,0.03616217204054815,0.06324437655496776,0.08323632130384168,0.039148565503053886,0.5687961578369141,94954
16,KAN,mfcc,100,0.001,32,Adam,1e-5,,,,,,,,,,,,,,5,7,5,0.001,,,,,,,0.08023255813953488,0.0392089340770444,0.06246628747759432,0.08023255813953488,0.08760186263096624,0.04388083098287808,0.1455509247902484,0.08760186263096624,0.039501350425010504,0.5695056915283203,92767
17,KAN,mfcc,100,0.001,32,Adam,1e-5,,,,,,,,,,,,,,5,7,5,0.01,,,,,,,0.08372093023255814,0.037470766582855954,0.09085558201285898,0.08372093023255814,0.08178114086146682,0.03427194396259913,0.05673019211836291,0.08178114086146682,0.0392874889595564,0.5996694564819336,93015
18,KAN,mfcc,100,0.001,32,Adam,1e-5,,,,,,,,,,,,,,10,3,3,0.0001,,,,,,,0.5476744186046512,0.5231170388878613,0.5657724630209078,0.5476744186046512,0.5471478463329453,0.5233424653298756,0.5717672400384963,0.5471478463329453,0.0834879944490832,0.4983663558959961,757353
19,KAN,mfcc,100,0.001,32,Adam,1e-5,,,,,,,,,,,,,,10,3,3,0.001,,,,,,,0.5162790697674419,0.47849027551038265,0.5106013642086844,0.5162790697674419,0.5366705471478463,0.5000793535509711,0.5969843770250711,0.5366705471478463,0.08449454335279243,0.4956331253051758,513409
20,KAN,mfcc,100,0.001,32,Adam,1e-5,,,,,,,,,,,,,,10,3,3,0.01,,,,,,,0.06395348837209303,0.007994186046511628,0.004263565891472868,0.06395348837209303,0.0870197904540163,0.014711608428932243,0.02147413197549678,0.0870197904540163,0.08472867899162825,0.48439812660217285,144929
21,KAN,mfcc,100,0.001,32,Adam,1e-5,,,,,,,,,,,,,,10,3,5,0.0001,,,,,,,0.18953488372093022,0.17205066215898765,0.1837018910021742,0.18953488372093022,0.18218859138533178,0.16144702310893083,0.17498900461484723,0.18218859138533178,0.08521859507228052,0.5789742469787598,317400
