run_id,model_name,feature_type,epochs,lr,batch_size,optimizer,weight_decay,cnn_conv_layers,cnn_filters,cnn_kernel,cnn_dense_layers,cnn_dense_units,cnn_dropout,fan_hidden,fan_layers,d_p_ratio,fan_activation,mlp_scenario,mlp_init_weight,mlp_dropout,kan_hidden,kan_grid,kan_k,kan_lambda,rbf_units,rbf_type,rbf_width_method,rbf_p_neighbors,rbf_fixed_width,rbf_regularization,accuracy_test,f1_score_test,precision_test,recall_test,accuracy_train,f1_score_train,precision_train,recall_train,inference_time_sec,training_time_sec,cpp_code_size_bytes
0,MLP,mfcc,100,0.001,32,adam,1e-5,,,,,,,,,,,0,HeNormal,0.0,,,,,,,,,,,0.9302325581395349,0.9303858289868805,0.9310037179041543,0.9302325581395349,0.9775902211874272,0.97768766070878,0.9780337879489919,0.9775902211874272,3.908955773641897e-07,0.6437463760375977,46679
1,MLP,mfcc,100,0.001,32,adam,1e-5,,,,,,,,,,,0,HeNormal,0.2,,,,,,,,,,,0.9151162790697674,0.9145759791102867,0.9151532478132178,0.9151162790697674,0.9665308498253784,0.9666286872399187,0.9669998231604805,0.9665308498253784,3.731527993845385e-07,0.6420738697052002,46647
2,MLP,mfcc,100,0.001,32,adam,1e-5,,,,,,,,,,,0,HeNormal,0.5,,,,,,,,,,,0.9476744186046512,0.9476960277358117,0.948681214229342,0.9476744186046512,0.9819557625145519,0.9819833818184998,0.9820782432287293,0.9819557625145519,3.992125045421512e-07,0.6397838592529297,46943
3,MLP,mfcc,100,0.001,32,adam,1e-5,,,,,,,,,,,0,RandomNormal,0.0,,,,,,,,,,,0.47325581395348837,0.45924251403884214,0.472718558008338,0.47325581395348837,0.5349243306169965,0.5176205890564918,0.5173815667468649,0.5349243306169965,4.175097443336664e-07,0.6406893730163574,45797
4,MLP,mfcc,100,0.001,32,adam,1e-5,,,,,,,,,,,0,RandomNormal,0.2,,,,,,,,,,,0.4872093023255814,0.47431247877827565,0.4971841071101202,0.4872093023255814,0.5486030267753201,0.5374199961296701,0.549681745969289,0.5486030267753201,3.268552380938863e-07,0.6393823623657227,45956
5,MLP,mfcc,100,0.001,32,adam,1e-5,,,,,,,,,,,0,RandomNormal,0.5,,,,,,,,,,,0.43372093023255814,0.4201135746504866,0.4263383581924712,0.43372093023255814,0.4770081490104773,0.4660626418527355,0.47342334261273583,0.4770081490104773,4.396882168082304e-07,0.6349937915802002,45670
6,MLP,mfcc,100,0.001,32,adam,1e-5,,,,,,,,,,,0,RandomUniform,0.0,,,,,,,,,,,0.7546511627906977,0.7493739169099898,0.7559069465758647,0.7546511627906977,0.7983119906868452,0.794502589351955,0.7944013936779161,0.7983119906868452,4.3275744415992915e-07,0.6320483684539795,45977
7,MLP,mfcc,100,0.001,32,adam,1e-5,,,,,,,,,,,0,RandomUniform,0.2,,,,,,,,,,,0.7069767441860465,0.7042266627812523,0.7107099292250587,0.7069767441860465,0.7863795110593713,0.7841422452224849,0.7864080167472439,0.7863795110593713,3.864598828692769e-07,0.659660816192627,45908
8,MLP,mfcc,100,0.001,32,adam,1e-5,,,,,,,,,,,0,RandomUniform,0.5,,,,,,,,,,,0.8151162790697675,0.8143305901078156,0.8153088845151897,0.8151162790697675,0.8620488940628638,0.8616816385736351,0.8624985085814642,0.8620488940628638,3.831331119980923e-07,0.6316709518432617,46076
9,MLP,mfcc,100,0.001,32,adam,1e-5,,,,,,,,,,,0,GlorotUniform,0.0,,,,,,,,,,,0.9244186046511628,0.9242745577159326,0.9250603644835739,0.9244186046511628,0.9787543655413271,0.9787817032504217,0.9789383893429342,0.9787543655413271,4.4079714043195856e-07,0.6329541206359863,46763
10,MLP,mfcc,100,0.001,32,adam,1e-5,,,,,,,,,,,0,GlorotUniform,0.2,,,,,,,,,,,0.9418604651162791,0.9419054456932516,0.9424496560726766,0.9418604651162791,0.9825378346915018,0.9825864159246445,0.9827194588453839,0.9825378346915018,3.484792487565861e-07,0.6339974403381348,46750
11,MLP,mfcc,100,0.001,32,adam,1e-5,,,,,,,,,,,0,GlorotUniform,0.5,,,,,,,,,,,0.95,0.950098582952703,0.9511844029491487,0.95,0.979918509895227,0.9800294961408729,0.9804302156356683,0.979918509895227,3.994897354480832e-07,0.6325790882110596,47105
12,MLP,mfcc,100,0.001,32,adam,1e-5,,,,,,,,,,,0,HeNormal,0.0,,,,,,,,,,,0.9267441860465117,0.9270308264147169,0.928382649760496,0.9267441860465117,0.9746798603026775,0.9747336757864057,0.974943578958945,0.9746798603026775,3.6788541217182955e-07,0.6349921226501465,46707
13,MLP,mfcc,100,0.001,32,adam,1e-5,,,,,,,,,,,0,HeNormal,0.2,,,,,,,,,,,0.9511627906976744,0.9511309025252039,0.9516492255819825,0.9511627906976744,0.9848661233993015,0.9848743118989871,0.9849388616028907,0.9848661233993015,3.42102937920149e-07,0.6294195652008057,46864
14,MLP,mfcc,100,0.001,32,adam,1e-5,,,,,,,,,,,0,HeNormal,0.5,,,,,,,,,,,0.9453488372093023,0.945248742657745,0.9458647224460022,0.9453488372093023,0.9828288707799767,0.9828605707844622,0.9829582504018161,0.9828288707799767,3.936678864235102e-07,0.6320006847381592,47007
15,MLP,mfcc,100,0.001,32,adam,1e-5,,,,,,,,,,,1,HeNormal,0.0,,,,,,,,,,,0.25465116279069766,0.1821287200236303,0.2701795305482554,0.25465116279069766,0.25261932479627475,0.17776987773457184,0.25475362454299694,0.25261932479627475,3.64558641300645e-07,0.9925239086151123,95809
16,MLP,mfcc,100,0.001,32,adam,1e-5,,,,,,,,,,,1,HeNormal,0.2,,,,,,,,,,,0.08139534883720931,0.012253063265816454,0.00662520281233099,0.08139534883720931,0.08381839348079162,0.012964391687684203,0.0070255230857008116,0.08381839348079162,4.2444051698196765e-07,0.9970738887786865,96076
17,MLP,mfcc,100,0.001,32,adam,1e-5,,,,,,,,,,,1,HeNormal,0.5,,,,,,,,,,,0.2534883720930233,0.15217007611630276,0.16760432744989678,0.2534883720930233,0.22671711292200233,0.13642367589214754,0.14431606824749715,0.22671711292200233,3.908955773641897e-07,1.988710641860962,96025
18,MLP,mfcc,100,0.001,32,adam,1e-5,,,,,,,,,,,1,RandomNormal,0.0,,,,,,,,,,,0.2558139534883721,0.23347044360858443,0.2552734180336077,0.2558139534883721,0.2892898719441211,0.26579137660196106,0.2874703786912556,0.2892898719441211,7.90939774624137e-07,2.686691999435425,96590
19,MLP,mfcc,100,0.001,32,adam,1e-5,,,,,,,,,,,1,RandomNormal,0.2,,,,,,,,,,,0.16511627906976745,0.13493325532308195,0.13500531689408637,0.16511627906976745,0.21769499417927823,0.18398088451569322,0.1978243621365099,0.21769499417927823,7.729197657385538e-07,1.4682815074920654,96374
20,MLP,mfcc,100,0.001,32,adam,1e-5,,,,,,,,,,,1,RandomNormal,0.5,,,,,,,,,,,0.2895348837209302,0.278469969327172,0.30433067528224966,0.2895348837209302,0.30908032596041907,0.30381066673149076,0.32633137520824884,0.30908032596041907,7.585037586300872e-07,2.707146406173706,96523
21,MLP,mfcc,100,0.001,32,adam,1e-5,,,,,,,,,,,1,RandomUniform,0.0,,,,,,,,,,,0.313953488372093,0.27821526472907254,0.3528727548197532,0.313953488372093,0.3428405122235157,0.30288139865148306,0.3689303109257316,0.3428405122235157,3.6372694858284886e-07,1.0383951663970947,95936
22,MLP,mfcc,100,0.001,32,adam,1e-5,,,,,,,,,,,1,RandomUniform,0.2,,,,,,,,,,,0.25465116279069766,0.188076249949528,0.28321247302729513,0.25465116279069766,0.22933643771827705,0.1723993545154469,0.2954756849424299,0.22933643771827705,4.0808389353197674e-07,0.9974255561828613,96070
23,MLP,mfcc,100,0.001,32,adam,1e-5,,,,,,,,,,,1,RandomUniform,0.5,,,,,,,,,,,0.32906976744186045,0.22598825270240788,0.2179572471193761,0.32906976744186045,0.3061699650756694,0.2167219487635612,0.24511850093149798,0.3061699650756694,4.1972759158112285e-07,1.002018928527832,96049
24,MLP,mfcc,100,0.001,32,adam,1e-5,,,,,,,,,,,1,GlorotUniform,0.0,,,,,,,,,,,0.08604651162790698,0.013634779144464917,0.00740400216333153,0.08604651162790698,0.08265424912689173,0.012620326210772715,0.006831724898730283,0.08265424912689173,4.2998513510060865e-07,0.994042158126831,96031
25,MLP,mfcc,100,0.001,32,adam,1e-5,,,,,,,,,,,1,GlorotUniform,0.2,,,,,,,,,,,0.12325581395348838,0.06448260254272734,0.08559712391866083,0.12325581395348838,0.11292200232828871,0.05759112463950372,0.09174281047317275,0.11292200232828871,3.989352736362191e-07,1.1326189041137695,95948
26,MLP,mfcc,100,0.001,32,adam,1e-5,,,,,,,,,,,1,GlorotUniform,0.5,,,,,,,,,,,0.07441860465116279,0.010309070774187053,0.005538128718226068,0.07441860465116279,0.08556461001164144,0.013488469353041599,0.00732130248644429,0.08556461001164144,4.2111374611078304e-07,1.0289514064788818,96185
27,MLP,mfcc,100,0.001,32,adam,1e-5,,,,,,,,,,,1,HeNormal,0.0,,,,,,,,,,,0.11627906976744186,0.05681854644063945,0.11580503039428922,0.11627906976744186,0.10768335273573923,0.053163891937503656,0.12879004798129162,0.10768335273573923,4.144602043684139e-07,1.001739263534546,95633
28,MLP,mfcc,100,0.001,32,adam,1e-5,,,,,,,,,,,1,HeNormal,0.2,,,,,,,,,,,0.3383720930232558,0.25016348003692124,0.30627919166320233,0.3383720930232558,0.3213038416763679,0.23648711804071101,0.3257702228513759,0.3213038416763679,6.135119948276253e-07,1.2237815856933594,96442
29,MLP,mfcc,100,0.001,32,adam,1e-5,,,,,,,,,,,1,HeNormal,0.5,,,,,,,,,,,0.10930232558139535,0.057465886939571144,0.08414709866787085,0.10930232558139535,0.11437718277066357,0.05752701878783004,0.09130819982748548,0.11437718277066357,4.0808389353197674e-07,0.9962232112884521,95879
30,MLP,mfcc,100,0.001,32,adam,1e-5,,,,,,,,,,,2,HeNormal,0.0,,,,,,,,,,,0.07790697674418605,0.011261634178771228,0.006069497025419146,0.07790697674418605,0.08469150174621654,0.013225235850898315,0.007172650468029397,0.08469150174621654,7.972051930982014e-06,1.813263177871704,222849
31,MLP,mfcc,100,0.001,32,adam,1e-5,,,,,,,,,,,2,HeNormal,0.2,,,,,,,,,,,0.08953488372093023,0.01471544513663101,0.008016495402920498,0.08953488372093023,0.08178114086146682,0.012365079678273973,0.006688155000603078,0.08178114086146682,8.694238440935003e-06,2.430206060409546,223054
32,MLP,mfcc,100,0.001,32,adam,1e-5,,,,,,,,,,,2,HeNormal,0.5,,,,,,,,,,,0.08953488372093023,0.01471544513663101,0.008016495402920498,0.08953488372093023,0.08178114086146682,0.012365079678273973,0.006688155000603078,0.08178114086146682,9.76130019786746e-07,1.7680399417877197,223361
33,MLP,mfcc,100,0.001,32,adam,1e-5,,,,,,,,,,,2,RandomNormal,0.0,,,,,,,,,,,0.07906976744186046,0.02943043205654355,0.10327643487226487,0.07906976744186046,0.09749708963911526,0.03258964277455315,0.1955334106690098,0.09749708963911526,9.267829185308412e-07,2.3499906063079834,221264
34,MLP,mfcc,100,0.001,32,adam,1e-5,,,,,,,,,,,2,RandomNormal,0.2,,,,,,,,,,,0.08837209302325581,0.014351023653349235,0.0078096268253109785,0.08837209302325581,0.08236321303841676,0.013040027042816428,0.09143323023438535,0.08236321303841676,1.0947848475256632e-06,2.9280903339385986,219689
35,MLP,mfcc,100,0.001,32,adam,1e-5,,,,,,,,,,,2,RandomNormal,0.5,,,,,,,,,,,0.08953488372093023,0.01873618737927137,0.0374303921684539,0.08953488372093023,0.08323632130384168,0.014830815272848824,0.033303589741668596,0.08323632130384168,4.152364509050236e-06,2.128981590270996,219754
36,MLP,mfcc,100,0.001,32,adam,1e-5,,,,,,,,,,,2,RandomUniform,0.0,,,,,,,,,,,0.08604651162790698,0.013634779144464917,0.00740400216333153,0.08604651162790698,0.08265424912689173,0.012620326210772715,0.006831724898730283,0.08265424912689173,6.845939991086028e-06,2.8470849990844727,220335
37,MLP,mfcc,100,0.001,32,adam,1e-5,,,,,,,,,,,2,RandomUniform,0.2,,,,,,,,,,,0.08953488372093023,0.01471544513663101,0.008016495402920498,0.08953488372093023,0.08178114086146682,0.012365079678273973,0.006688155000603078,0.08178114086146682,3.985471503679142e-06,2.610407829284668,220906
38,MLP,mfcc,100,0.001,32,adam,1e-5,,,,,,,,,,,2,RandomUniform,0.5,,,,,,,,,,,0.09069767441860466,0.015084048197550454,0.008226068144943213,0.09069767441860466,0.08149010477299184,0.012280532473863142,0.006640637175913189,0.08149010477299184,5.0572461860124455e-06,1.7974138259887695,220461
